name,portrait,text
경비원들,a9397a3738984d4ea39eccfb93223c60,이덕구 꼼짝마!!!넌 포위됐어!!
사장님,1cccfa2121534b43a8327dd29381e449,어딜 가려는 거냐. 이덕구.
덕구,21f445874d09449aa179c40e164b5563,당신은 누구지?
사장님,1cccfa2121534b43a8327dd29381e449,나는 넥슨전자 사장이다 
덕구,21f445874d09449aa179c40e164b5563,당신 외계인 아니야?! 어떻게 외계인이.. 외계인을....
사장님,1cccfa2121534b43a8327dd29381e449,돈이 된다면 못할 것도 없지.
사장님,1cccfa2121534b43a8327dd29381e449,너 하나 떠난다고 세상이 바뀌지않아.
덕구,21f445874d09449aa179c40e164b5563,그건 모르지. 내가 집으로 돌아가 당신의 만행을 다 밝힐거야!
사장님,15ddb75e0fc34791b7469baf4c21648a,말이 안 통하는군. 죽여버려.
경비원들,a9397a3738984d4ea39eccfb93223c60,(철컥)
덕구,21f445874d09449aa179c40e164b5563,어림없지! 함께해서 더러웠고 다신보지말자 지구야!
,939e177ec4ca44cabe60e5c8318ce649,덕구는 극적으로 지구를 탈출했다!.
